Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
348187802472a7fe19d3b9dd7b46b2f0,sony - cd boombox - black,1.0,86.29,Best Buy Education
039ee215400021ab02b564f462a3386d,play money bills,1.0,8.02,AKJ Education
365c336dca5857ab7e81e0d358cba21d,epson 96 standard-capacity ink cartridge photo black,4.0,12.14,Quill.com
a1246b07e93874116ba309a6cdba4520,squaretrade 2-year tablet accident protection plan ($350-400),1.0,74.97,Amazon Business
b322f7fdda4c08a1914a7178d2a216e7,trip,,,
29f1c29af3b902f7f41169d7dc6a7075,samsung - 3 11.6'chromebook - intel celeron - 2gb memory - 16gb solid state drive - metallic black,10.0,179.0,Best Buy Education
d3da0d85c78d680f7fc8680396ae1b63,instapark® lcl series battery-powered flameless led tealight candles (2-dozen pack),1.0,12.75,Amazon Business
38034b9b32a979a74fb1a446311c8aba,spectrum tube - air�,1.0,33.3,Sargent-Welch
07fe1dafc630eec7e110525d97e36afc,jj466 - 3-letter word building puzzles,1.0,14.99,Lakeshore Learning Materials
0e83b4ad5128fc6d9590849945cbcde8,gaston,1.0,10.74,Amazon Business
4e50bed6d9a6862a54cd8e1f7fa01b23,level b - fiction and nonfiction combo set,1.0,155.96,AKJ Education
cf096cc98d0e549fc628f5d956e5a9c6,coupon math,1.0,63.32,Nasco
f73fbb39f841c0c205f2b694e291c4a0,i just want to do it my way! my story about staying on task and asking for help,1.0,9.31,Amazon Business
c9eb1ec8e603dc8122d42d2b67d8fecf,"sweet, hereafter",1.0,6.56,AKJ Education
d0d316627a9613baa1c68e4fa5adc1d4,"disposable plus white polyethylene waterproof aprons 28 x 46 inches, stay clean and dry all day while cooking, serving, painting or dishwashing. 1.0 mil thick for maximum durability (100 pack)",1.0,13.99,Amazon Business
b598f8ede49f32baaedd462d6e0dd06c,eat fresh food: awesome recipes for teen chefs,1.0,14.49,Amazon Business
524519244f57c017e78c660b4f8d60d5,invellop ipad mini crystal clear 3-pack screen protectors 7.9 inch,2.0,6.95,Amazon Business
6c64be99ac9c33929312bc0326b4b3f5,catapult,1.0,24.95,Nasco
eacddfa66de9a883612aaa4f3ebbb0db,aa340ye - washable fingerpaint - pint - yellow,4.0,2.99,Lakeshore Learning Materials
dfca407a2c8e93e8f4500ae7658484e4,the field day from the black lagoon (black lagoon adventures,1.0,2.91,AKJ Education
9fe6abe5b10fbae898585de61d108800,dd370x - soft seats - set of 6,2.0,56.99,Lakeshore Learning Materials
073a1d60d33092b14c9d9421b3c31c54,foam paint bottles (set of 3),1.0,7.61,Kaplan Early Learning Company
e6dcb36ba541f419add45d88328658ab,ff524 - small-group teaching easel,1.0,79.99,Lakeshore Learning Materials
24152df68fca3222a6515e0a8a654e1a,"shipwreck (island, book 1)",1.0,5.99,Amazon Business
e95ef9ac22d8b436e6b19baee1beadc3,african myths and folk tales,1.0,3.29,AKJ Education
377b7d37150a78be6c867256a7c17458,aa622 - missing addend addition fluency puzzles             ,1.0,19.99,Lakeshore Learning Materials
8b33dbc9db2d714bab843584c1f23d4a,the first part last,1.0,8.99,Amazon Business
c8aa690b01b0b754aab6abbfc76713c7,"sparkle professional series paper towel rolls 2-ply, 85 sheets/roll, 15 rolls/carton",3.0,17.99,Quill.com
d0ca817b33f5a3c822a7e5b8e5e94baf,"lifeproof - fr? case for apple� ipad� mini, mini 2 and mini 3 - black",1.0,52.07,Best Buy Education
c94bb8170cd8c9e5048c6d575c68efcc,the most beautiful roof in the world: exploring the rainforest canopy,2.0,6.57,AKJ Education
c1b684c12ed633785ccc6d56ae04e37a,why recycle?,1.0,5.11,AKJ Education
0d288f00919b8859201dbb554022ede1,watering can plas 36 oz,5.0,7.19,Frey Scientific
856f4443f8aeffc4ef6951a4d5d68878,chair ball 75cm red,11.0,39.89,School Specialty
d32103d63b7e625721c46f2c76e27a30,"st. bridge super soft fluffy carpet bathroom kitchen bedroom anti-slip mat floor shaggy rug decoration, 24 x 16 inch, blue",4.0,13.99,Amazon Business
2bbd6d0c01e1afad50806afc3d935b55,i like myself!,1.0,5.83,AKJ Education
e676c89f6fd02e497cba81c0cef33170,evecase blue digital slr camera holster case/bag for canon eos sl1 t6 t5i t5 t4i t3i t3 t2i 80d 70d 60d 7d mark ii and more dslr cameras,2.0,19.99,Amazon Business
ffc7386bec00eee0808689228fd325e8,masterpiece,1.0,6.98,Amazon Business
b21c2bbe780e5a083900288bf33c0f64,hp - 951 3-pack ink cartridges - cyan/magenta/yellow,2.0,50.42,Best Buy Education
1c24bbaf01ec4142261170f4c30cb735,book lessons: capitalization and punctuation,1.0,14.24,School Specialty
6c85c63cfaf1e2c4074f1649921f68c5,the wolf's story: what really happened to little red riding hood,1.0,14.66,Amazon Business
27fb7ba028cababc3121817d830f99bc,tuck everlasting,16.0,5.83,AKJ Education
03006b0a39269bc98e5925213e0517d1,waiting is not easy! (an elephant and piggie book),1.0,7.64,Amazon Business
52c5439d184efef3c95c7c4a46003868,promoting executive function in the classroom (what works for special-needs learners),1.0,37.62,Amazon Business
e62c64cf0be3797a582e39980671a08a,the judgemental flower (building relationships),1.0,6.35,Amazon Business
9b76b1fb44843e3b3fa2c4b95a4e152d,"endurance classroom rugs shape: square, rug dimensions: 6' w x 6' l, color choices: burgandy 01",1.0,90.77,Teachers' School Supply
0215ae019c105a1d2e679c3f835a4f8f,gc141 - lowercase alphabet dies - 3 1/2&#34;,1.0,229.0,Lakeshore Learning Materials
97d38e3fda522ebcf4e9eed03a6ea9ba,math explosion game,1.0,23.92,Amazon Business
f50edadc5b0727e76bd6ce4bc4d1a9ba,feathers,2.0,8.46,Kaplan Early Learning Company
2aa54ff6e8f455eb800a728b1cc3ff7e,wd my passport ultra wdbzfp0010brd - hard drive - 1 tb - usb 3.0,1.0,69.99,Best Buy Education
c4a61426702957a754393e574e196976,suspended cymbal stand,1.0,55.99,Woodwind and Brasswind
c96d81df5c9bee1d86c27e57db007aac,re542 - goodnight moon read-along,1.0,40.5,Lakeshore Learning Materials
24970dccf5cfa8453d9e896f3c75bb06,"the pigeon has feelings, too!",1.0,5.1,AKJ Education
0208d55c95c3136b03a1bfa455e1f1b1,the persian cinderella,1.0,6.99,Amazon Business
0474a7642f6f2b9a4a65cf2aa072b0d0,emart photography photo video studio background stand support kit with 3 colors muslin backdrop 100% cotton(black white green),1.0,64.99,Amazon Business
143c3cac1a0df512e2a9cc49fb0a9a4b,fold and go mini barn,1.0,44.16,Kaplan Early Learning Company
1859c72eab84ed74d7c585a616b2cb1a,"i am martin luther king, jr. (ordinary people change the world)",1.0,11.99,Amazon Business
1cf9d4646cf84ee12a083ae2b816f6d2,junie b. jones (27 bk set),1.0,99.7,AKJ Education
1632cfdc092396fc655ce57685eb77f0,sargent art 66-2010 12-count colored dustless chalk,6.0,5.89,Amazon Business
3d55e479b037407a06eaec5b316d17e7,tt157 - stem science station - sink or float,1.0,39.99,Lakeshore Learning Materials
130ae551e6025ae682cb359881a181da,"sharpie accent permanent markers fine point, assorted colors, 12-color set",1.0,8.07,Quill.com
165bf917c622ae8d1a74dc8433144ca1,"pepperidge farm&reg goldfish&reg crackers 1.5 oz. bags, 72 bags/box",1.0,25.49,Quill.com
d86be6010d280616207adababd68b5dc,bd807 - telling time hot dots quiz cards,1.0,9.99,Lakeshore Learning Materials
d49283a9a3c3a68e4bc7a99e2aabc034,ff518 - let&amp;#8217;s get moving! numbers & counting kit,1.0,49.99,Lakeshore Learning Materials
1914deaad0e1ffe5a2a58c0c2616adeb,wa203 - hand pointers - set of 3,1.0,10.99,Lakeshore Learning Materials
fb661db43853583846c1393ddaa21dd5,lc5402 - magnetic letters - lowercase                                    ,1.0,7.99,Lakeshore Learning Materials
fb03dfc0c6ec315191c80db6783628ec,tactilclr 3d bubble/blk 500ml,1.0,12.49,Blick Art Materials
e94d2e195fedf3749fce4e5ceb9af48e,jump into science: dirt,1.0,6.95,Amazon Business
4b6bd415206de8bd758630839ad0fca3,half-human monsters and other fiends (not near normal: the paranormal),1.0,23.62,Amazon Business
41637f27e63eed2b151cfd2cac21d1bd,my life as a stuntboy (the my life series),1.0,6.99,Amazon Business
89ebe7d02e6ab7a00f8ab5e3dc87a5be,library starter set (set of 13),1.0,118.96,Kaplan Early Learning Company
1c764bb3ce87f6eea7a8f2092cf97e1c,"mr shield for amazon new - fire tablet 7"" 7 inch (5th generation - 2015 release) premium clear screen protector [3-pack] with lifetime replacement warranty",2.0,7.95,Amazon Business
c2eefb4cf95eacec3e54cc55e2db87ab,learning resources - gears super set 150 pieces,1.0,49.99,Teachers' School Supply
b0cde7d6b031cb9cc73d395e7c1dd089,"capezio women's ""e"" series jazz slip-on,black,7 m us",1.0,38.95,Amazon Business
14fba1b448f29dd65b8f748a9eb9cc75,"dixon-ticonderoga striped wood pencils, 7.1 mm, #2 soft lead, assorted colors, pack of 10",2.0,3.39,Quill.com
11aa2127a9c67052f7e3a96f72f40201,"majestic home goods trellis pouf, small, peach",2.0,59.35,Amazon Business
477033a2dc5e6e8bf7406f2c4dac7702,"lorax, the",25.0,10.91,AKJ Education
ed06827e9ae7f5b9a2d6c49c5620b0fc,beanbag chair adult size - select color,1.0,45.47,School Specialty
ac80ffa0684ddec891a564dd9850bfb3,bouncy bands for chairs (black support pipes),4.0,13.95,Amazon Business
234b9669802d189945a13c5581cd5966,learning resources super strong magnetic clips,3.0,11.41,Amazon Business
8c7e15d5ec1729134e094329576a7cb8,between heaven and earth (seven (the series)),1.0,9.58,Amazon Business
e3211fc1e104997a21dbf11438d11de1,gg370 - reading comprehension games library - gr. 4-5,1.0,139.0,Lakeshore Learning Materials
519e531d36c2df10612a417587772319,"children of many cultures rug

shape: rectangle, rug dimensions: 7' 8"" w x 10' 9"" l",1.0,383.08,Teachers' School Supply
8094865d108656e8dfa03294c657b75c,"master lock padlock, set your own combination lock luggage lock, 13/16 in. wide, 646t (pack of 2)",17.0,5.79,Amazon Business
da310ae309028961c21b23a4d969b48a,the other day i met a bear (first steps in music series),1.0,15.64,Amazon Business
9ffcdd0caf3f34b0c765b5a6e22eb960,apple - ipad� air with wi-fi - 16gb - space gray,3.0,399.99,Best Buy Education
89a6299b30a89e91401c41a6baa1601c,usb automatic barcode scanner scanning barcode bar-code reader with hands free adjustable stand (black),1.0,27.06,Amazon Business
73686866de6e1ab56ffa89c098939a0c,"astrobrights color paper, 8.5"" x 11"", 24 lb / 89 gsm, ""happy"" 5-color assortment, 500 sheets",3.0,11.96,Amazon Business
56af3909752f131777770ae1658603e1,microsoft office home and business 2010 - license,1.0,199.99,Best Buy Education
d666e96b63d76d3a394e3fb5e57ec504,the world according to humphrey book 1,1.0,4.37,AKJ Education
5bebef03768916d4b08e60f1d2965be4,otterbox defender series case & stand for apple ipad air - retail packaging - papaya - peony pink / white,1.0,44.99,Amazon Business
a8357860456c632fc5f61d148b7b0472,national geographic readers: deadly predators,1.0,3.99,Amazon Business
8d54b809399c541d5dd0f4d1cf98ef1c,ee424 - native americans literature library,1.0,30.5,Lakeshore Learning Materials
cda871d61437ade38a1d40dfaa678592,smile,1.0,7.39,Amazon Business
2bdeab8698ceeb480fa5e3aee9d7f124,the locker ate lucy!: a branches book (eerie elementary #2),1.0,4.51,Amazon Business
aa98ee59bca7dc76ed65ea6b78e7e3e2,"ecr4kids the surf portable lap desk/laptop stand/writing table, navy",1.0,25.0,Amazon Business
a022219c761761ef6aac4e0106af7f9d,clay air-dry 5 lb bucket,10.0,9.87,School Specialty
0120ee22979696efcd6062bc1b873881,gg820 - read-along listening center,1.0,179.0,Lakeshore Learning Materials
25737851a5266698d3f5af24d6c0e7e3,aa758x - connect & store book bins - set of 6,1.0,28.99,Lakeshore Learning Materials
54e376e2f0923c7cddb39c2503b7a2c8,"mcs mbi 13.5x12.5 inch 3-d character scrapbook album with 12x12 inch pages, frog (848137)",1.0,16.89,Amazon Business
c665c09b0827a793b491b989fd47c7da,to kill a mockingbird,1.0,4.94,Amazon Business
e9d9d879dbafd283e3d31e1c219eae29,game chess,5.0,6.1,School Specialty
d8d78e8f822ab3ec9465193a6c2dc4f4,yogaaccessories (tm) 1/4'' extra thick high density yoga mat (phthalate free) - red,1.0,20.95,Amazon Business
e156338e151c7440a79b5ef116260c7d,beats dude stand for beats pill 2.0 portable speaker (black),1.0,24.99,Amazon Business
a3227741ffba1e911c77e7cc7f8069cb,"gamecraft 5"" nylon bean bags - prism pack",4.0,13.52,Teachers' School Supply
5b9a7da9366f4d8d9e08f09a20a8438f,back jack anywhere chair,1.0,46.71,Kaplan Early Learning Company
0fc33efdf8ac3bf8f078dbba05db3c2d,freight desc,1.0,25.0,Quill.com
d95b61f619488cf4baa57d3aaaf2e7b3,"kids kore wobble chair 14"" - dark blue",4.0,59.49,Kaplan Early Learning Company
6b915c9f9c8b4b48070509fac1db88e2,"animal preschool stereo headphones

style: bear",6.0,14.15,Teachers' School Supply
09741da027f0548f1aff9cebd11cbc71,jam plus portable speaker (purple) hx-p240pu,1.0,37.1,Amazon Business
dbc6c6ee23b194fc62b84c0bca2e7b9b,crisantemo/ chrysanthemum (spanish edition),1.0,9.83,Amazon Business
f3b8e5987c928e4c1504dc62b4f773b5,sisters and brothers: sibling relationships in the animal world,1.0,6.99,Amazon Business
d162c050483c75452136b2effd6ebcab,mistakes that worked,1.0,8.89,Amazon Business
4423fd365d15d5698fc4539d9873115b,winterworm® new set of 7pcs big braid nesting dolls authentic russian wooden matryoshka birthday gifts home decoration green,1.0,23.99,Amazon Business
3eb0aa3469f59022c1c7e37d264cb528,brain freeze!,1.0,2.91,AKJ Education
78e6d89468efefccdcdbc0dc338219fa,hh965x - pop & add games - complete set,1.0,79.99,Lakeshore Learning Materials
1e518905cd77b7d94a22e8e13072678f,"expo vis-a-vis wet erase markers fine point, assorted colors, 8-color set",2.0,9.77,Quill.com
2caf604bf72cd431fe8d97e3d81330a6,national geographic readers: george washington carver (readers bios),1.0,3.99,Amazon Business
f06b63208a376d21048eec07d668cec9,food coloring red #40 0.5 pct aq lg 50ml,1.0,2.84,Frey Scientific
3923b71dfc7311085774c1ff77f43b47,mi enemiga secreta / my secret bully,1.0,11.67,AKJ Education
5a5ff3f1d7c0d8bb3d596816024e72cb,neapolitan astronaut ice cream,33.0,4.99,
51c056f38ffb71a9d3cd61c5ce1f60a0,strega nona's gift,2.0,14.33,Amazon Business
ad18c2c47de7f9654f9e88596693caab,apple ipad 2 mc769ll/a 9.7-inch 16gb (black) 1395 - (certified refurbished) ,1.0,119.99,Amazon Business
707bb13db7620f78976a16e87d7ed698,"super z outlet sz008 liquid motion bubbler for sensory play, assorted colors, 1 - piece",34.0,6.99,Amazon Business
ea56528ace7610f87db1b1b1cfc6d670,"best blends set of 6 100% pure, best therapeutic grade essential oil - 6/10ml (breathe, good night, head ease, muscle relief, stress relief, and health shield)",1.0,19.99,Amazon Business
fb73caeebebde81475710a2a7475a100,ll112bu - heavy-duty paper tray - blue,1.0,5.99,Lakeshore Learning Materials
41857cba0c588f66f1bcd6b239f51514,"kore patented wobble chair, made in the usa, active sitting for toddler, pre-school, kids, and teens; kids don't have to sit still anymore - ""the best seat in any classroom""! - pre - dark blue (12in)",1.0,59.99,Amazon Business
36b284ddeca4afed876615d06de7b156,the crossover,1.0,10.29,Amazon Business
c1532c09d02276ceb5bee3657555c332,1984,3.0,7.29,AKJ Education
a6c320756df1b168774cd3644a74bc53,aa302 - level a book bin - k - library 1,1.0,35.99,Lakeshore Learning Materials
51af4c9775b3ad0f67eadafd17aad85e,aa758x - connect & store book bins - set of 6,1.0,29.5,Lakeshore Learning Materials
f333dff988e28d027baaba3084f7e895,melissa & doug pets jumbo,1.0,9.99,Amazon Business
1903cc3af95454cd488d15cab6c9977c,"kellogg's nutri-grain bars assorted flavors, 1.3 oz., 24/box",2.0,18.69,Quill.com
35cc3a2d5766bab0b4ccfc16348b4768,nestl&reg assorted chocolate miniatures 40 oz. 2/bd,2.0,25.49,Quill.com
5e14304157492131dc0050f89bb533c7,"leapfrog stem leappad3 kids tablet bundle, early math concepts",1.0,104.77,Amazon Business
6bb69b4be705195f8b802829d001fae4,exploring the pennsylvania colony (exploring the 13 colonies),1.0,7.95,Amazon Business
0f0cc9afb1fe81ac84817de751b9dd0d,trip,,,
4508444a720e16955f833ae30b122ad6,economy spectroscope,19.0,8.46,Carolina Biological Supply Company
69ab2992a2205898e205189718b88dad,lego star wars elite clone trooper and commando droid b 9488,1.0,34.43,Amazon Business
bda9397e7a899616f4eb6dac9dba1d44,"staples brights colored paper, 8.5"" x 11"", fuchsia, 500/ream (20109)",1.0,12.99,Staples Advantage
7ca4be68d80779f9804ddba3a2e47706,ll443 - how long is it? measurement center,1.0,34.99,Lakeshore Learning Materials
0d94013a1023e0e3779a536f5912c033,all-in-one piano lessons book b: book with audio and midi access included (hal leonard student piano library (songbooks)),1.0,9.85,Amazon Business
525d00259db6bdd490b8101f4c6641d8,"bic round stic xtra life ball pen, medium point (1.0 mm), black, 60-count",4.0,4.79,Amazon Business
4b89f500d99a91c2bc24ba8290415169,the yellow house mystery,6.0,4.37,AKJ Education
c90da0167c5affba61be1976bd211f84,stanley and the magic lamp (flat stanley),1.0,3.62,Amazon Business
6167eac8e2d249318a64eee9d280ba4a,fitbit - zip wireless activity tracker - charcoal,3.0,45.99,Best Buy Education
561940a848dd496b7975d915d6277bb1,hh820x - reading comprehension games library - gr. 4-6 - single license cd-roms,1.0,79.99,Lakeshore Learning Materials
c46a629ea073b688f438a4bae109a97c,crystal clear 200-pieces universal thermal laminating pouches,3.0,18.99,Amazon Business
8c236cdebeb5353af55a2ff36a7050db,gt278 - write & wipe graphing boards - set of 30,1.0,29.99,Lakeshore Learning Materials
411f50bbc26c2ab63077009cb4cecfdc,30496-1001-super sculpey medium blend - 1 lb,2.0,13.59,Blick Art Materials
46f0f27947f7f11714e0093b63317086,finding winnie: the true story of the world's most famous bear,1.0,9.45,Amazon Business
f465874abe9892c99bbd58bb045bf89a,quantum mechanix harry potter hogwarts crest doormat - 24,1.0,21.95,Amazon Business
b7b5a50129ba4e7ab7c2b866bb3f09f8,iowa the hawkeye state,1.0,21.89,AKJ Education
585bbd3dd68206ebfc1ea3f6e680a292,the name jar,1.0,5.83,AKJ Education
8433f4ce68573d8c7a05c2e119381f8d,lego mindstorms ev3 31313,2.0,349.95,Amazon Business
e747984aceaabc71ea7a8d96af7c9dba,the carrot seed 60th anniversary edition,1.0,5.1,AKJ Education
9fe9bab322f2459cfcb749a0b0eb7181,big reading highlight strips (set of 5),2.0,8.46,Kaplan Early Learning Company
3e152a69e6b8916a961bab832c0393e7,"neenah astrobrights premium color paper, 24 lb, 8.5 x 11 inches, 500 sheets, terra green",2.0,13.96,Amazon Business
790e6c0803b173042e9e6f95d11f5582,one cool friend,1.0,13.13,AKJ Education
9999bb9bd96e10534d21882811a50ae8,what was the ice age?,1.0,4.9,Amazon Business
da0d5ebd4d260086bfa883bf30d5b416,the girl who never made mistakes,1.0,14.99,AKJ Education
393d22536994cb89b1943d9071ede6b2,gs535x - vocabulary & grammar bingo series,1.0,45.0,Lakeshore Learning Materials
f1a9413d8bc98823cfc3740aaa48969c,"boogie board jot memo pad, 8.5 screen, blue",12.0,21.61,Staples Advantage
ef65d1dec08c1d13532a023417c5ba12,you wouldn't want to sail on the mayflower!: a trip that took entirely too long,1.0,8.66,Amazon Business
5c2c077134bfb80a10d8a6c13401e6e0,piecing me together,6.0,13.13,AKJ Education
24b7c0c9114171bcca6b23412ef85511,teacher created resources foam fractions dice (20689),1.0,12.49,Amazon Business
337c055666f183d047e63806c25ed43c,percy jackson 01. ladron del rayo (percy jackson y los dioses del olimpo) (spanish edition),1.0,9.23,Amazon Business
91f2afd9d6eb12a32f777529b56626eb,mind performance projects for the evil genius: 19 brain-bending bio hacks,1.0,22.37,Amazon Business
f3873a9cfda15bcb886fda9850171168,"apple ipad air 2 mglw2ll/a (16gb, wi-fi, silver) newest version",1.0,441.0,Amazon Business
6c676eb1332f2d7c914f857440e0b31d,"gold heart shape foil sticker labels, 500 stickers, 1 1/2 inch diameter, 1.5""",1.0,8.19,Amazon Business
1396ad04dc779810b588e901191e73ba,mr. putter & tabby make a wish,2.0,5.39,Amazon Business
7a455755d95f4e60598a394fa1cffc85,"charles leonard dry erase lapboard class pack, includes 12 each of whiteboards, 2 inch felt erasers and black dry erase markers  (35036)",2.0,24.29,Amazon Business
9fecd14b08fe5166f48af44be13a2284,when i was the greatest,1.0,5.98,Amazon Business
63129af9949126d0e215db9b6fc32411,"community helpers, scholastic news nonfiction readers: grades 1 - 2 - box of 6 titles, 6 copies each title / - / grades 1â2",1.0,89.0,Scholastic Classroom Magazines
bea0f073cbb71646db812fe9a4bffdae,"my first biography: martin luther king, jr.",1.0,3.46,Amazon Business
ad144866d4bcd82fbbe9132121124890,"sunshine cheez-it crackers hot & spicy, 1.5 oz., 48/pk",1.0,44.99,Quill.com
17428c1c15e7740fbbd0c96e73e63774,"kihomy blue women and men fitness gear, ankle/wristbands/elbow pads/ ankle riding gear knee protectors, support improves circulation, soothes muscles & wicks away moisture (set)",1.0,13.99,Amazon Business
ebd549d818224e9a8c862a34b85fc66c,bulldog clip magnetic back size 2 2 1/4''w 1/2''cap 12/bx sr,2.0,11.0,School Specialty
31c77f9b37230ff9605d50b68240eb71,bd526 - fractions power pen quiz cards,1.0,9.99,Lakeshore Learning Materials
78b9c732b02549fd7a234071727b2694,hp - 952 combo pack 3-pack ink cartridges,3.0,54.92,Best Buy Education
d7773cbb71c0762a7b69e9814c4daa43,lapgear student lapdesk 45014 black,5.0,14.71,Amazon Business
ce52e29e30909b1169976321185e7a24,pp455 - daily comprehension common core practice journal - gr. 4-5 - each,1.0,3.99,Lakeshore Learning Materials
45054d28c1a1207bdf40cb6c17f40a31,going to the great smoky mountains national park (farcountry explorer books),1.0,14.95,Amazon Business
f5081c2004aeef63c66b0c6f81b9cb93,a thousand acres: a novel,1.0,12.8,Amazon Business
e7efa78bf60f694eda06fef14db0e693,divergent,5.0,12.75,Amazon Business
d10b8491e4ccc780aa697ccd19657c16,"dixon ticonderoga wood-cased #2 hb pencils, box of 96, yellow (13872)",1.0,10.17,Amazon Business
16bccac2a1e1e3d2f581c7306bf02299,creative teaching press inspire u painted palette 4-poster pack #1 (7487),1.0,13.96,Amazon Business
7254f59d909ab01e25a868d3c1f387e9,pp710x - math folder game libraries - k-gr. 1 - complete set,1.0,129.0,Lakeshore Learning Materials
3198dc2dd2de878a4b16ee78ee5caeab,la623 - 3 5/8&amp;#34; x 3 5/8&#34; labeling pockets,6.0,19.99,Lakeshore Learning Materials
f817e50e9218a32ccfbe13632f7411b5,makerbot true black filament,1.0,61.22,CDW-G
4697d71a534d9c9fa84b70150ace07ed,"expo whiteboard / dry erase board liquid cleaner, 22-ounce, green",1.0,6.69,Amazon Business
9a2e188709ef61436d6d14a00994e9e0,"stackable school chair w/ chrome legs size: 16"", glides options: ball glide, colors: burgundy (by)",12.0,23.99,Teachers' School Supply
feb943ff8006cef07c3ac34f182a3c5b,cc300 - common core reproducible comprehension activities - grade 3,1.0,19.99,Lakeshore Learning Materials
57f55c503389500b3966682820879691,"""unfolding history"" timelines, u.s. history: the road to revolution",1.0,6.79,Quill.com
2361d10c7ff1ff03e1f60a866d69befd,ancient egypt beyond the pyramids,1.0,5.91,AKJ Education
94c31f78113bde18b9d3199a84aed0a6,beautiful oops!,1.0,7.41,Amazon Business
